AID,SID,CID,Activity Outcome,Target Accession,Activity Name,Activity Qualifier,Activity Value [uM],Assay Name,Assay Type,PubMed ID,RNAi
493040,103904364,49830383,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904365,10067064,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904366,11676233,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904367,11292807,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904368,10338500,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904369,44560751,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904370,11244819,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904371,49830384,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904377,5329895,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904379,49830386,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904381,11338239,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904383,49830387,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904384,49830388,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904402,49830398,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103904403,6420138,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904411,49830404,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103904417,46886319,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103904418,49830406,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103904419,49830407,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103904420,46886323,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103904422,49830408,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904443,49830423,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904444,216239,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904448,2797247,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904449,2797246,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103904450,14983992,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904451,44520205,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904463,49830431,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904464,49830432,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904465,49830433,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904466,49830434,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904468,20744853,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904469,49830436,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904470,22607336,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904471,25164469,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904472,49830437,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904473,49830438,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904474,22607531,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904475,49830439,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904476,49830440,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904477,22607499,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904478,22607266,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904479,20744829,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904480,49830441,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904482,25165277,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904483,49830442,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904484,20744821,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904487,49830444,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904489,49830445,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904501,49830454,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904502,49830455,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904504,49830456,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904508,25165861,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904509,25167072,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904510,25167074,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904511,25164676,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904512,25164882,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904514,49830460,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904515,49830461,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904516,49830462,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904517,25164884,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904518,49830463,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904519,25164472,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904520,25167075,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904524,49830467,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904525,25164675,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904526,25165085,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904527,16661285,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904528,25167280,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904529,49830468,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904530,25166655,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904543,25164677,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904545,25167078,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904546,25166868,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904547,25164470,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904550,25165481,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103904552,49830479,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904555,49830481,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904556,49830482,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904557,49830483,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904558,49830484,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904559,49830485,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904560,49830486,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904561,49830487,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904564,44237411,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904565,49830489,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904566,49830490,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904567,49830491,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904574,49830497,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904580,49830502,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904581,49830503,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904591,49830508,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103904592,15605335,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103904593,23647265,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103904594,23647251,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103904595,9891182,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904596,49830509,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103904597,11712649,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904598,16038120,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103904600,11213558,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103904601,9934347,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103904602,49830511,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103904603,49830512,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103904604,23647264,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904610,667926,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904634,448014,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904638,11577250,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904641,49830534,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904643,24765714,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904646,712193,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904649,11210054,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904652,5209964,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103904655,49830543,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904656,44586040,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904657,23570850,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904658,49830544,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904659,49830545,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904662,49830547,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904664,17163635,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904666,24768216,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904673,49830552,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103904677,49830554,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904683,49830556,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904684,135398510,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904687,23433004,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904688,9905711,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904702,49830565,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904703,135533388,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904705,49830566,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904709,201327,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904711,49830569,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103904712,9981692,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904713,10317442,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904721,49830576,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904723,49830577,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904725,49830579,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904727,19934548,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904729,49830582,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904736,49830587,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904737,49830588,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904738,49830589,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904739,49830590,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904741,49830591,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904742,15941246,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904743,136027061,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904744,49830593,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904745,49830594,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904746,49830595,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904749,49830597,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904750,49830598,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904751,49830599,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904752,22607792,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904753,49830600,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904754,49830601,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103904759,49830606,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904760,16050449,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904761,16050452,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904762,16050453,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904773,25016360,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904775,49830616,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904776,49830617,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904777,49830618,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904778,15981404,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904779,16050450,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904783,1400,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103904784,49830620,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904785,49830621,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904786,49830622,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904787,49830623,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103904788,49830623,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103904789,49830624,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904794,11846126,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904796,49830628,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103904797,135451585,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904798,136027062,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904806,22665513,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904809,4982682,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904810,49830635,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904811,49830636,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904812,16220223,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904813,24180596,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904815,49830638,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904816,49830639,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904817,44442347,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904819,49830641,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103904828,156422,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904855,49830670,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904856,49830671,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904857,11407183,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904859,49830673,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904872,49830684,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904873,49830685,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904882,49830693,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904884,24858859,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904885,23646813,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904886,45269554,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904887,24859296,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904888,24859013,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904889,24772168,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904890,24858860,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904891,49830695,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904892,49830696,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904895,24859161,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904896,49830698,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904897,49830699,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904898,49830700,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904899,49830701,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904900,49830702,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904901,49830703,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904904,136027064,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904906,136027064,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904908,49830708,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904912,49830711,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103904913,45273796,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103904926,2858224,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904937,49830729,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904938,49830730,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904939,9881974,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904940,49830731,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904946,49830736,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103904950,49830739,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904952,25206387,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904953,3536,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904954,5711,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904955,25205762,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904960,46224697,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904961,46224684,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904962,49830742,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103904963,623415,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904965,11992146,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904967,49830744,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904968,49830745,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904969,49830746,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904978,136027068,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904979,135515045,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904980,136027069,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904984,24809803,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904985,24809803,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904987,18516237,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904988,24809834,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904989,176155,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904991,6539952,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103904993,49830757,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904994,9956874,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904995,10073297,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904996,9825149,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904997,49830758,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904998,49830759,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904999,49830760,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905001,49830762,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905002,16007116,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905007,11950170,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905024,9952773,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905032,49830785,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905033,11164136,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905034,11268820,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905036,49830787,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905041,18516349,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905042,49830789,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905043,49830790,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905044,18516214,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905046,9906347,Inactive,,,,,Navigating the Kinome,Other,21336281,
